URL,Title,Content
https://kgiamalis.co/blog/book-review-mastery, Path to mastery,"Path to mastery Recently, I finished reading the book ""Mastery"" by Robert Greene. Greene is an intriguing author, somewhat controversial, with a mix of supporters and critics. In this book, he outlines the three phases someone should follow to attain mastery—the sense of having more control over reality, others, and ourselves.  According to his theory, there are three distinct phases or levels to achieve mastery:  1st: Apprenticeship Stand on the outside of the field, absorbing as much as you can about the basic elements and rules. The principle is simple: the goal of an apprenticeship isn't money, a good position, or title, but rather the transformation of your mind and character. It's the first step on the journey to mastery.  2nd: Creative-active Through extensive practice and immersion, we gain insight into the inner workings, how things connect, and thus understand the subject more comprehensively.  3rd: Mastery This phase involves the ability to experiment and creatively play with the elements involved. Our knowledge, experience, and focus become so profound that we can see the entire picture with complete clarity.  Besides the mastery process, there's a dedicated chapter about mentorship, discussing its importance, finding the right mentor, and maximizing a mentorship.  Additionally, there's a chapter about social intelligence and the ability to read people, understand their worldview, and recognize their individuality. In my view, this is the most compelling chapter of the book, encompassing strategies like:  The book is filled with fascinating stories from influential personalities like Charles Darwin, Benjamin Franklin, Wolfgang Amadeus Mozart, and Marcel Proust, illustrating how they achieved their mastery.  Some of book’s highlights:  I found the book interesting for a couple of reasons: Firstly, the process that is dealing with is an interesting open-ended framework that is close to reality. You can’t become a master without acquiring and mastering the right skills. Moreover, I appreciated the analogies between the process and the stories of influential individuals. This connection can help readers understand how the framework aided them and how it might assist others. Lastly, the section on social intelligence was intriguing, offering valuable insights and tips on dealing with people effectively.  I recommend this book to those beginning their professional journey, as well as experienced individuals who may be struggling to unlock their mastery phase.  PS: It comes in a concise edition too. Mastery: Robert Greene (The Modern Machiavellian Robert Greene) : Greene, Robert: Amazon.de: Books www.amazon.de Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/simple-prioritization-framework, Simple prioritization framework,"Simple prioritization framework There are many prioritization frameworks available. My personal favorite is RICE, which is recognized as an industry standard in product management. However, RICE has certain prerequisites that must be met before implementation. One of the simplest and most effective frameworks to use involves choosing only two from the following: 💡 If you're aiming for product-market fit, focus on speed and cost-efficiency. 💡 Once you've found market fit, aim for speed and quality. This might need funding or cash flow, as it won't be a low-cost option. 💡 If you're a large corporation, opting for low cost isn't viable due to labor costs and opportunity costs. The decision then boils down to either fast or good. 💡 When running an experiment, speed and cost-efficiency should be your priorities. 💡 If you face intense competition, quality should be your default choice. Often, speed also becomes a necessity, but this will require cash flow as it won't come cheap. 💡 If you are building a major feature for your product, fast is not an option. You need to do it good and it will be expensive, especially if it requires heavy product development. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/skills-versus-luck, Skills versus luck,"Skills versus luck I recently came across a fascinating lesson in a book I read. This lesson, applicable to both work and life, is best illustrated through the story of Nick the Greek, a renowned gambler in the United States. It's estimated that he won and lost over 500 million dollars throughout his life, ultimately dying penniless.  Nick the Greek had an unconventional approach to poker. He believed that a pair of aces were the worst hand, while a 7-2 hand was the best. This strategy is the exact opposite of what is generally accepted in poker.  Whenever he won using his strategy, he would think, ""What a great strategy,"" but when he lost, he would chalk it up to bad luck. In reality, the opposite was true!    Let’s check the scenarios based on Nick the Greek story:  And then comes the trickiest and most beautiful part of life:  What are we going to do in a situation that requires both skills and luck?  Make sure that you have the necessary skills and…. Good luck with that. Relevant book: Amazon.com: Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts: 9780735216372: Duke, Annie: Books read.amazon.com Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/the-most-important-stakeholder, The most important stakeholder,"The most important stakeholder Who holds the title of the most crucial stakeholder?  Could it be the CEO?  Perhaps the CFO?  Or even you?   They fund our salaries, and if they aren't satisfied, they may leave our service. They don't behave like traditional stakeholders, though. They don't set strict deadlines, provide clear specifications, or wield authority.  Yet, they are the ones who contribute most to our business growth. Their focus lies solely on the value delivered through our platform or service.  Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/essay-a-strange-ab-test, [Essay] A strange A/B test,"[Essay] A strange A/B test Various methods are employed to cross-check the efficiency of tools and data health. These include the test traffic feature in Google Analytics, the sandbox environment in Adjust (for app tracking), and A/A tests in Optimizely.  However, how do we handle advertising platforms? Advertising platforms operate on a pay-to-play basis. We validate conversions and clicks from all ads within Google Analytics as a single source of truth, but what about other metrics that are specific to ad platforms?  In 2016, we aimed to understand how creatives influence the assisted conversion types of ad platforms. Some might argue that a test not focused on conversions is pointless, but assisted conversions are part of the conversion flow, and as marketing attribution models and conversion windows are not particularly ""glamorous.” This is the lookback period after people view your ad, during which you attribute action-based results (such as clicks and conversions) to that ad. AdWords: View-through Conversion This is the period of time after an impression, during which a view-through conversion is recorded. View-through conversions occur when the user doesn’t interact with the ad but later converts. We decided to carry out an unconventional test.  The A/B test was not designed to identify the winning variation but to establish the benchmark of advertising assisted conversions. How can we set the benchmark for this test? We need a variation with a creative and a variation without one, which isn't feasible. We used two variations of ""empty"" banners that contain no information about the advertised company, efood, and look like generic placeholders. Then, there are two variations of ""branded"" banners, one featuring food and one displaying an animal. The test took place on the Google Display Network (GDN). We chose GDN because ""empty"" banners would be irrelevant in the context of Facebook ads, as they include the advertiser's logo and name, making them appear more like errors than tests.  Here were the results from the GDN test: It's important to note that our intent was not to construct a tightly controlled A/B test in a laboratory setting. Instead, we aimed to design something meaningful for us, capable of generating sufficient traction to produce data worthy of analysis.  After running the campaign for a week, the results were as follows: To sum up: The table above reveals a couple of insights: 💡 CTR & Clicks CTR and clicks were significantly higher for empty banners. We don't have a clear explanation for this; perhaps users found the unusualness of the empty banners intriguing, generating more clicks (and consequently, CTR). Surprisingly, the low-performance audience outperformed the high-performance audience in both variations.  💡 View-through Conversions View-through conversions were also substantially higher. One logical observation is that the high-performance audience generated more view-throughs.  💡 Audience Performance The low-performance audience generated more clicks, while the high-performance audience yielded better outcomes. The volume of clicks generated by the low-performance audience in both empty and branded banners variations is puzzling, though the better outcomes in the high-performance group require no further explanation.  💡 Animal vs Food The animal banner significantly outperformed the food banner. It seems a squirrel can indeed beat a pizza!  After this test, we didn't dedicate all our GDN budget to empty banners. We didn't shift the entire budget to another platform either. Instead, we adjusted our ad strategy and gained confidence to invest more in ad A/B testing. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/the-frequency-of-focus, 40Hz: The frequency of focus,"40Hz: The frequency of focus I’m a big fan of Andrew Huberman’s content. I read this post today and I immediately skip my regular music playlist and start listening to 40Hz binaural beats for more than 4 hours.  I won’t say that it increased my focus dramatically but somehow it helped (it might be placebo though). It’s kind of weird sound, try it (headphones only) and you will understand why, it’s not a typical sound that you are used to listen, when you work. After the first hour (it took me a while to get comfortable with it) this type of sound managed to eliminate every other sound existed in my environment and it did not distract me as well.  I am not 100% that I will stick to it, but I will try to have it as a first option, every time I have to do deep work.  Fun fact: It indeed helped me focus because a couple of times that someone came into my office, I got scared by the sound of opening the door.  I used the following sounds:  (5 Jul ‘23) UPDATE: You can find better sounds in 40hz in Spotify or YouTube. I stick to the 1st one I got but it seems like it was one of the weirdest. There are other sounds that are effective and pleasant as well. Lack of focus is one of the most popular problems for professionals worldwide.  I was reluctant to try these white sounds but after my initial test, I find them very helpful. Here is the full video. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/find-me-the-next-teabag," Simple products, big impact","Simple products, big impact I've been involved in several discussions about innovation this week. Topics like Apple's Vision Pro, AI, Tesla, Neuralink, the Metaverse, Cryptos and the list goes on… All those mentioned above are indeed innovative projects and concepts. They disrupt large, traditional industries and have the potential to reshape the global economic landscape if they scale.  I want to take a different approach to discussing innovation by describing the story of a particular invention. This is a simple yet innovative product that is used 96 million times per day, ONLY in Great Britain. The invention is based on the second most widely consumed drink in the world (water being the first):   Yes, the ones we use to drink our tea.  Teabags are considered one of the greatest inventions due to their widespread use across the world. Commercial production started in the 1920s, and they were initially available in two sizes: a larger bag for the teapot and a smaller one for the cup. Their primary Unique Selling Proposition (USP) is the same as what we still find in most successful companies today. It's also the primary USP for e-food:  Convenience.  Teabags provide a convenient way to drink your tea, as you don't need to remove the tea leaves from your cup.  Teabag production has undergone many optimizations (such as becoming plastic-free, heat-sealed, affordable on a mass scale, etc.) in order to reach the final version that we have today. But the moral of this invention is what I appreciate most and what I currently embrace:  Innovation does not always have to be complex or high-tech. Many of the most impactful inventions are those that simplify or enhance our daily routines in some way.  Other relevant examples: Relevant book: Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/awareness-test, Awareness test,"Awareness test Here is a 15-year-old (but useful) test about awareness. I don’t want to spoil it for you, so please check the video first and then read the rest of the article.  Video: https://www.youtube.com/watch?v=oSQJP40PcGI   The reason I find this video very helpful is that, especially when it comes to analytical thinking & decision making, there are many biases. Even after creating a detailed analysis or getting a sophisticated decision, we might still be blind and miss the obvious things.  I've shown this test to many people, yet only a few managed to spot the bear. Almost everyone managed to count the passes correctly, though.  There are many times I see analyses that seem right but still didn't manage to answer important questions.  Similarly, we might check a ton of parameters of a project but we managed to miss some of the most important ones.   Why is that happening? Here are a couple of reasons: One of the most popular complex examples in the business world is how to measure incrementality. Your feature might generate thousands of interactions and conversions, but are those conversions incremental? A simple question with a complex answer. There are many ways to measure incrementality. A common one is controlled experiments & holdout groups, but they require an initial setup. If you miss that setup, you can’t use them. If you missed setting up controlled experiments, causal impact is a statistical method developed by Google. It can be useful to measure incrementality, from product features to marketing campaigns & sales efforts.  Imagine that you spent a significant amount of time building a feature, or you used a large portion of your marketing budget on a campaign. Your investment isn't only resource-based; it's emotional too. Unconsciously, you'll try to find ways and metrics to prove to yourself and others that this initiative worked. In cases of great success or failure, things are straightforward, but most initiatives are not outliers.  A common bias for everyone. As humans, we tend to seek, interpret, and remember information in a way that confirms our pre-existing beliefs or hypotheses. Even if you're data-driven, the vast array of available metrics can be misleading. You might cherry-pick those that confirm your bias and make a decision that feels data-driven, even if it's not. There's a relevant quote from British economist Ronald Coase: “If you torture the data long enough, it will confess.”  Your expertise can sometimes make you blind, as you might focus only on what you know and inadvertently overlook other crucial aspects that fall outside your scope. A prime example of this is when one evaluates the success of a feature while completely neglecting user incentive campaigns. This oversight can happen simply because you might not be aware of the active campaigns, especially if campaigns are handled by the Marketing team, while product features are developed by the Product team.  Lastly, the organizational hierarchy plays a role. When a CEO or C-level executive makes a request, it carries more weight than a regular stakeholder's request. Our attention tends to shift towards expedient delivery (e.g., ""as soon as possible"" or ""needed yesterday"") rather than a comprehensive review and analysis of the situation. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/how-to-do-great-work, How to do great work,"How to do great work I've recently read Paul Graham's latest essay on how to accomplish great work. His essays are always insightful, and I encourage everyone to read as many of them as possible.  paulgraham.com Paul Graham argues that great work happens at the intersection of three things: what you're good at, what you care about, and what the world needs. He also discusses some of the challenges of doing great work, such as the need for focus, the importance of perseverance, and the risk of failure. Graham begins by defining great work as ""work that matters, work that's worth doing."" He argues that great work is not about being the best at something, but about finding something that you're good at and that you care about, and then doing it as well as you can. He also says that great work is not always easy, but it is always worth it. Graham then goes on to discuss the three things that need to intersect in order for great work to happen: Graham concludes by saying that great work is not always easy, but it is always worth it. He says that great work can give you a sense of satisfaction and accomplishment, and it can make a real difference in the world. In addition to the three things mentioned by Graham, I would add that great work also requires creativity, innovation, and a willingness to take risks. Great work is not about following the status quo. It's about challenging the status quo and finding new and better ways of doing things. If you're looking to do great work, I encourage you to reflect on the three things that Graham mentions in his article. What are you good at? What do you care about? What does the world need? Once you've answered these questions, you'll be well on your way to doing great work. Since this particular article is quite lengthy, consisting of 11,000 words, I understand that not everyone may have the time or inclination to read it in its entirety. Therefore, I've gathered the key points: First step: decide what to work on - Something you have a natural aptitude for - Something you have deep interest in - Something that offers scope to do great work The way to figure out what to work on is by working. Develop a habit, working on your own projects. What kind of projects? The ones that seem to you excitingly ambitious. Excited curiosity: What are you excessively curious about — curious to a degree that would bore most other people? That's what you're looking for. Four steps: 1. Choose a field, 3. Learn enough to get to the frontier, (requires hard work) 3. Notice gaps, 4. Explore promising ones. (requires hard work) This is how practically everyone who's done great work has done it, from painters to physicists. 3 most powerful motives: Curiosity Delight Desire to do something impressive When you read biographies of people who've done great work, it's remarkable how much luck is involved. When in doubt, optimize for interestingness. In most cases the recipe for doing great work is simply: work hard on excitingly ambitious projects, and something good will come of it. It will probably be harder to start working than to keep working. Great work usually entails spending what would seem to most people an unreasonable amount of time on a problem. That's the key: consistency If you do work that compounds, you'll get exponential growth. If you don't try to be the best, you won't even be good. Be aggressively willing to admit that you're mistaken. Once you've admitted you were mistaken about something, you're free. Nerds have a kind of innocent boldness that's exactly what you need in doing great work. The route to great work is never easy. You may have to throw things away and redo them. Have the confidence to cut. Great ideas have to be true and new. Talking or writing about the things you're interested in is a good way to generate new ideas. Curiosity and originality are closely related. One way to discover broken models is to be stricter than other people. A good new idea has to seem bad to most people, or someone would have already explored it. People show much more originality in solving problems than in deciding which problems to solve. Great work often comes from returning to a question you first noticed years before — in your childhood, even — and couldn't stop thinking about. It's a great thing to be rich in unanswered questions. Being prolific is underrated. The most subtle advantage of youth, or more precisely of inexperience, is that you're seeing everything with fresh eyes. One of the most valuable kinds of knowledge you get from experience is to know what you don't have to worry about. Much of the nonsense left in your head is left there by schools. And don't take rejection by committees to heart. Work with people you want to become like, because you will. Doing great work is a depth-first search whose root node is the desire to ""Never give up"" is also not quite right. Obviously there are times when it's the right choice to eject. An audience is a critical component of morale. People who do great work are not necessarily happier than everyone else, but they're happier than they'd be if they didn't. The opinion of people you respect is signal. If you asked an oracle the secret to doing great work and the oracle replied with a single word, my bet would be on ""curiosity."" Many more people could try to do great work than do. What holds them back is a combination of modesty and fear. Finding something to work on is not simply a matter of finding a match between the current version of you and a list of known problems. You can find the article in my knowledge base too along with other interesting articles.   Read the full article here: paulgraham.com Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/resulting, Resulting,"Resulting Football teaches us a lot, even for those not on the field. Here's a story about two famous names in football: Mourinho and Balotelli. Here's how Mourinho tells the story:  Let's dissect a tale involving Mourinho and Balotelli, two towering figures in the world of football. Here's the story recounted by Mourinho himself:  ""I remember one in Kazan. We went to Kazan in the Champions League. In that match all my strikers were injured. No Milito, no Eto'o, I was really in trouble and Mario was the only one. ""Mario gets a yellow card in minute 42nd, 43rd. So when I go to the dressing room at half-time, I spend 14 minutes of the 15 speaking only for Mario. ""Mario I cannot change you. I cannot make a change. I don't have a striker on the bench. Don't touch anybody. Play only with the ball. When we lose the ball, no reaction. If somebody provokes you, no reaction. If the referee makes a mistake, no reaction. Mario, please. But, Mario, who was only 19 years old then, got another yellow card and was removed from the game in the 60th minute.  What's the lesson? Mourinho knew Mario might get into trouble, so he used the whole break to talk only to him. It was the right call.  But even though Mourinho made a good decision, things didn't go well. So, what happens when you do the right thing, but it still goes wrong?  This is not rare. There is a fallacy called “resulting” which is dangerous since it prevents us from properly evaluating whether we're making good decisions, because we tie our decisions solely with their outcomes. Sometimes we win or lose by factors we can't control, regardless of the decision we made. For these reasons, we need to understand that our end results alone don't tell us the whole story, whether we're good making good decisions.  Here is a chart the describes combinations between outcomes and process behind them.  The combination of “good process + bad outcome” is the most challenging one. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/what-to-read, How I choose what to read,"How I choose what to read When it comes to reading content, what and how do you read? I discussed this with Tom Papaspyros, an avid reader, and he proposed a helpful approach that he uses too. So, here are two methods: the one discussed with Tom and the one I currently employ. Tom proposed this approach to reading. If you're unsure which books to choose, reach out to an expert for suggestions. If no expert is available, opt for bestsellers. By reading 2-3 books that focus on your problem, you will gain concentrated knowledge in that area. Don't misunderstand me; reading three books is not easy, but it will provide rich information about the problem that interests you. When you're searching for a solution to a problem, avoid aimless browsing on the web. Instead, select carefully a couple of experts whom you believe offer valuable insights and consider their opinions on your issue. For instance, when it comes to Google Analytics, I exclusively read Avinash Kaushik's blog (avinash.net). For Tag Manager, I only read Simo Ahava's work. As for marketing strategy, I consume content written by Seth Godin (actually I don’t read anymore about Marketing but I used to read a lot). The reason is simple. An expert possesses a comprehensive way of thinking and doing things. His approach is based on processes that he uses for years. The follow their principles and the things they believe. By extracting insights from their minds and adding your thoughts, you can create something more robust compared to just reading the first result from a Google search. However, this requires that the expert shares your fundamental principles, otherwise you will develop something robust but wrong. Hence, choosing the right expert is crucial. Disclaimer: You can read content from other experts, but I suggest a ratio of 80% from your chosen expert and 20% from different experts. When it comes to product development, I follow Lenny's newsletter & Shreyas Doshi for regular content reading. These two sources cover almost everything I need. If I require additional insight, I consult other experts too, such as Casey Winters & Brian Balfour. Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/the-tail-end-theory, The Tail End theory,"The Tail End theory Actually this is not a productivity article but it is still useful. A few years ago, I was part of the Marketing team. Now, I find myself in the Product department. From my perspective, I've had the opportunity to work with some of the most limited resources in a company:  However, this post touches on what I believe to be the most significant constraint: Time.  There is an intriguing theory named ""The Tail End"" which dives deep into this very concept. I came across a fascinating article about it on a blog called ""Wait But Why"" (I'll share the link at the end).  Here's a brief overview of ""The Tail End"":  Having relocated to another city or perhaps even a different country, your meetings with him are limited. You manage to spend only around 30 days with him each year. These are distributed as 8 days during Christmas, 8 days over Easter, 8 days in summer, and the remaining days scattered throughout the year for occasions like birthdays or adhoc visits.  The average life expectancy in Greece for men stands at 79.8 years. To make calculations easier let’s make it 80.  By this logic, you'd have 600 days left (30 days annually plus the 20 years he has from the age of 60 to 80) with your father. And it's essential to remember, once a day goes by, it doesn't return.  600 days are less than 2 years. We’re in the tail end.  The article shared some startling insights: By the time we finish high school, we’ve already used up about 93% of our face-to-face time with our father. Presently, we're relishing the last 7%. We’re in the tail end.  It might come across as slightly grim, but it’s an undeniable truth. The central message of the article is the following: Life's brevity means that setting priorities and valuing quality time is of utmost importance.  You can read it here: No matter what your age, you may, without realizing it, be enjoying the very last chapter of the relationships that matter most to you. Make it count. waitbutwhy.com Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
https://kgiamalis.co/blog/guide-two-decision-making-frameworks-books, [Guide] Two decision making frameworks (+books),"[Guide] Two decision making frameworks (+books) Here are some interesting decision-making frameworks and concepts that can help you shape your own decision-making process. It does not have to be a strict process. You can include questions, steps, and biases to avoid to create something that helps you make better decisions. Here are two very interesting frameworks. I learned about them from books (which I will attach), and I believe that everyone should develop their own framework for decision making. I will not reveal all the details from the books, as you need to buy them to fully understand the framework and its approach. Upstream thinking is one of the best concepts for an aspiring Product manager. Generally, upstream thinking means that we should look at the forest and not the tree. When we see a problem we should be able both solve it AND prevent it from happening again. While solution is quite straightforward, prevention on the other hand is quite complex. 3 main obstacles for Upstream thinking: 7 Questions to enhance your upstream thinking Based on book:  Upstream: The Quest to Solve Problems Before They Happen - Kindle edition by Heath, Dan. Download it once and read it on your Kindle device, PC, phones or tablets. Use features like bookmarks, note taking and highlighting while reading Upstream: The Quest to Solve Problems Before They Happen. www.amazon.com The book Decisive provides a framework for decision making. It is a step-by-step framework that can help you overcome biases and emotions and make the best decision possible. The framework has four main pillars: 1. Widen your options (avoid black & white thinking) 2. Reality-test your assumptions 3. Attain distance before deciding 4. Prepare to be wrong Normal process of a decision: The book also identifies four ""villains"" of decision making: Based on book:  Decisive: How to make better choices in life and work - Kindle edition by Heath, Chip, Heath, Dan. Download it once and read it on your Kindle device, PC, phones or tablets. Use features like bookmarks, note taking and highlighting while reading Decisive: How to make better choices in life and work. www.amazon.com Relevant posts: Opinions expressed are solely my own and do not necessarily express the views or opinions of my employer."
